abeierbianhuan 阿贝尔变换
bubianzhongxinliuxing 不变中心流形
bubianzidaishu 不变子代数
bubianziji 不变子集
bubianzikongjian 不变子空间
bubianzikongjianwenti 不变子空间问题
bubianziqun 不变子群
buchang 补偿
buchang 步长
buchangfa 补偿法
buchanghanshu 补偿函数
buchangqi 补偿器
buchangzhibiao 步长指标
buchongduochongxiangliang 补充多重向量
buchonglengzhui 补充棱锥
buchongsimianti 补充四面体
bucunzaixing 不存在性
bucuo 捕错
budengbiansanjiaoxing 不等边三角形
budengfangcheng 不等方程
budenghao 不等号
budengshi 不等式
buding 不定
budingchang 不定常
budingchangdiedai 不定常迭代
budingchangfangfa 不定常方法
budingdu 不定度
budingercixing 不定二次型
budingfangcheng 不定方程
budingfangchengzu 不定方程组
budingjifen 不定积分
budingjuzhen 不定矩阵
budingneijikongjian 不定内积空间
budingshi 不定式
budingsuanzi 不定算子
budingxingshi 不定形式
budongdian 不动点
budongdiandingli 不动点定理
budongdianfa 不动点法
budongdianwenti 不动点问题
budongdianzhishu 不动点指数
buerdaishu 布尔代数
buerduoxiangshi 布尔多项式
buerfangcheng 布尔方程
buerfangfa 布尔方法
buerge 布尔格
buerguihua 布尔规划
buerhanshu 布尔函数
buerhuan 布尔环
buerji 布尔积
buerkongjian 布尔空间
buermi 布尔幂
buerxiangliang 布尔向量
bueryunsuan 布尔运算
buerzuiyouhua 布尔最优化
bufanghuichouyang 不放回抽样
bufenbansuisuanzi 部分伴随算子
bufenchengji 部分乘积
bufendengjusuanzi 部分等距算子
bufendiguigeshi 部分递归格式
bufendiguihanshu 部分递归函数
bufenfenshi 部分分式
bufenfenshu 部分分数
bufenhanshu 部分函数
bufenhanzi 部分函子
bufenhe 部分和
bufenhelie 部分和列
bufenhunqu 部分混区
bufenji 部分积
bufenjiemian 部分截面
bufenjinwei 部分进位
bufentu 部分图
bufenxinxi 部分信息
bufenyatuoyuan 部分亚椭圆
bufenyingshe 部分映射
bufenzhuyuan 部分主元
bufenzhuyuanxiaoyuan 部分主元消元
bufenzitu 部分子图
bufuhe 不符合
buguizesanjiaoxing 不规则三角形
buguizesibianxing 不规则四边形
buhelijihe 不合理集合
buhuotufama 捕获突发码
buji 补集
bujiao 补角
bujingen 不尽根
bujingenshu 不尽根数
bujingmi 不精密
buju 布局
bujuece 步决策
bujunyunxing 不均匀性
bukebi 不可比
bukebianyuan 不可辨元
bukeceji 不可测集
bukechengliangxing 不可称量性
bukedabianjiedian 不可达边界点
bukedajishu 不可达基数
bukedashu 不可达数
bukedaxushu 不可达序数
bukedayuansu 不可达元素
bukedingxiangliuxing 不可定向流形
bukedingxiangqumian 不可定向曲面
bukedingxiangzhouxian 不可定向周线
bukefencishu 不可分次数
bukefenduoxiangshi 不可分多项式
bukefenjiege 不可分解格
bukefenjiemo 不可分解模
bukefenjiemobiaoshi 不可分解模表示
bukefenkuozhang 不可分扩张
bukefentaishe 不可分态射
bukefentongzhong 不可分同种
bukefenyuan 不可分元
bukeguancezikongjian 不可观测子空间
bukejiaxing 不可加性
bukejianxiqu 不可兼析取
bukejiefangcheng 不可解方程
bukejiexing 不可解性
bukejieyu 不可解域
bukejuexishu 不可决系数
bukenengshijian 不可能事件
bukenengxingzhengming 不可能性证明
bukeniguocheng 不可逆过程
bukenixing 不可逆性
bukepandinglilun 不可判定理论
bukepandingxing 不可判定性
bukepandingxingdingli 不可判定性定理
bukeshuji 不可数集
bukeshuxing 不可数性
bukeshuxushu 不可数序数
buketongyueliang 不可通约量
buketongyuexianduan 不可通约线段
bukeweiguihua 不可微规划
bukeweizuiyouhua 不可微最优化
bukeyasuoqumian 不可压缩曲面
bukeyue 不可约
bukeyuebiaoshi 不可约表示
bukeyuedaishucu 不可约代数簇
bukeyuedaishuduiying 不可约代数对应
bukeyueduoxiangshi 不可约多项式
bukeyueercixingshi 不可约二次形式
bukeyuefangcheng 不可约方程
bukeyuefenshu 不可约分数
bukeyuefenzhi 不可约分支
bukeyuegaixing 不可约概形
bukeyueji 不可约集
bukeyuejiadangjuzhen 不可约嘉当矩阵
bukeyuelian 不可约链
bukeyuemaerkefulian 不可约马尔可夫链
bukeyuemo 不可约模
bukeyueqingxing 不可约情形
bukeyuequxian 不可约曲线
bukeyueshengchengji 不可约生成集
bukeyuetezhen 不可约特贞
bukeyuexingdian 不可约性点
bukeyuexingpanbiezhunze 不可约性判别准则
bukeyueyinzi 不可约因子
bukeyueyingshe 不可约映射
bukeyueyuan 不可约元
bukeyuezhangliangsuanfu 不可约张量算符
bukeyuezhen 不可约阵
bukeyuezhengming 不可约证明
bukeyuezuchengchengfen 不可约组成成分
bukezhengmingxing 不可证明性
bukongjian 补空间
bulagequxian 布喇格曲线
bulashikechengji 布拉施克乘积
bulangpian 布朗片
bulangqiao 布朗桥
bulangyundong 布朗运动
bulaofengerbudongdiandingli 布劳丰尔不动点定理
bulaoweierdaishu 布劳威尔代数
bulaoweierqun 布劳韦尔群
buliantongji 不连通集
buliantongkongjian 不连通空间
buliantongtu 不连通图
buliantongxing 不连通性
bulianxu 不连续
bulianxubianhuanqun 不连续变换群
bulianxubianliang 不连续变量
bulianxudian 不连续点
bulianxuji 不连续集
bulianxuqujian 不连续区间
bulianxuqun 不连续群
bulianxuxian 不连续线
bulianxuxiang 不连续项
buluafenjie 布鲁阿分解
buluohechangshu 布洛赫常数
buluohehanshu 布洛赫函数
buluohekongjian 布洛赫空间
bulvafenjie 布吕阿分解
bumeijixian 不梅极限
bumeijinji 不梅紧集
bumeijinxing 不梅紧性
bumeishoulian 不梅收敛
bumingshu 不名数
bumo 补模
bumoshu 补模数
bunengchujin 不能除尽
bunengtongyue 不能通约
bupinghengyunshuwenti 不平衡运输问题
bupinghengzhipaiwenti 不平衡指派问题
bupingwensuijiguocheng 不平稳随机过程
buqixing 不齐性
buquedingjuece 不确定决策
buquedingxing 不确定性
buquedingxingxitong 不确定性系统
buquedingxingzidongji 不确定性自动机
buraoerqun 布饶尔群
bushidingwenti 不适定问题
busimanfangcheng 布斯曼方程
butongleixiang 不同类项
butu 补图
buwanquanduoxiangshi 不完全多项式
buwanquanfangcheng 不完全方程
buwanquanguinafa 不完全归纳法
buwanquanhanshu 不完全函数
buwanquanquzusheji 不完全区组设计
buwanquanxing 不完全性
buwanquanxingdingli 不完全性定理
buwanquanyu 不完全域
buwanquanyueshu 不完全约束
buwanzhengyueshu 不完整约束
buwending 不稳定
buwendingchangshu 不稳定常数
buwendingjie 不稳定解
buwendingxing 不稳定性
buwendingzhuangtai 不稳定状态
buxilvboqi 布西滤波器
buxineisikefangcheng 布西内斯克方程
buxian 补弦
buxiangchen 不相称
buxiangguan 不相关
buxiangguansuijibianliang 不相关随机变量
buxiangguanxishu 不相关系数
buxiangguanyangben 不相关样本
buxiangjiao 不相交
buxiangjiaobingji 不相交并集
buxiangjiaoguanxi 不相交关系
buxiangjiaoji 不相交集
buxiangjiaoyuansu 不相交元素
buxiangrongfangcheng 不相容方程
buxiangronggujiliang 不相容估计量
buxiangrongshijian 不相容事件
buxiangrongxing 不相容性
buxiangrongxingshixitong 不相容形式系统
buyizhixing 不一致性
buyulv 补余律
buyuan 补元
buzhiwenti 布置问题
buzikongjian 补子空间
buzimo 补子模
buzudao 不足道
buzudaoji 不足道集
cachu 擦除
caqu 擦去
caixiang 猜想
canbianshu 参变数
cancha 残差
canchahe 残差和
canchapingfanghe 残差平方和
canchatu 残差图
cankaotuoqiu 参考椭球
cankaozhen 参考帧
canmokongjian 参模空间
canpu 残谱
canshu 参数
canshu 残数
canshubianhuan 参数变换
canshubiaoshi 参数表示
canshucu 参数簇
canshudingli 残数定理
canshufangcheng 参数方程
canshuguji 参数估计
canshuguihua 参数规划
canshuhuafa 参数化法
canshujifen 参数积分
canshujisuan 残数计算
canshujiashe 参数假设
canshujianyan 参数检验
canshukongjian 参数空间
canshumoxing 参数模型
canshuqulv 参数曲率
canshuqumian 参数曲面
canshuquxian 参数曲线
canshuqun 参数群
canshuxianxingguihua 参数线性规划
canshuxue 参数学
canshuzuiyouhua 参数最优化
canshuzuiyoujie 参数最优解
canyuzhe 参预者
caozuo 操作
cebuzhunyuanli 测不准原理
cedicanshu 测地参数
cediju 测地距
cediliu 测地流
cedinaolv 测地挠率
cedipiancha 测地偏差
cediqulv 测地曲率
cedixian 测地线
cedixianhuanlu 测地线环路
cedixue 测地学
cedizuobiao 测地坐标
cedu 测度
cedujuanji 测度卷积
cedukongjian 测度空间
cedulun 测度论
ceduzhiji 测度支集
cejiaoshu 测角术
cejuyi 测距仪
celiang 测量
celiangwucha 测量误差
celue 策略
celuebianliang 策略变量
celuedengjiaxing 策略等价性
celuediedaifa 策略迭代法
celueduojiaoxing 策略多角形
celuegaijin 策略改进
celuegaijindiedai 策略改进迭代
celueji 策略集
celuejuece 策略决策
celuekongjian 策略空间
celuemoxing 策略模型
cemeiluo 策梅洛
cemeiluofulankeerjihelun 策梅洛弗兰克尔集合论
cemian 侧面
cemianji 侧面积
cemianjixue 测面积学
ceshidian 测试点
ceshihanshu 测试函数
ceshitu 侧视图
cenghua 层化
cengkongjian 层空间
cenglilun 层理论
cenglinyu 层邻域
cengliupianliu 层流片流
cengtaishe 层态射
cengtonggou 层同构
cengtongtai 层同态
cengtuopu 层拓扑
chabie 差别
chacuobaohu 差错保护
chacuochuanbo 差错传播
chacuofangcheng 差错方程
chacuojiancema 差错检测码
chacuojiaoyan 差错校验
chacuojiaozheng 差错校正
chacuokongjian 差错空间
chacuokongzhi 差错控制
chacuolv 差错率
chacuoxiangliang 差错向量
chacuoxulie 差错序列
chadaishu 差代数
chafen 差分
chafenbijin 差分逼近
chafenbianzhiwenti 差分边值问题
chafenbiao 差分表
chafenfa 差分法
chafenfangcheng 差分方程
chafengeshi 差分格式
chafenjiaozheng 差分矫正
chafenmengtekaluofangfa 差分蒙特卡罗方法
chafensuanzi 差分算子
chafenweifenfangcheng 差分微分方程
chafenxulie 差分序列
chafenyansuan 差分演算
chaji 叉积
chaji 差集
chaji 差积
chakongfa 插空法
chaqun 差群
chashang 差商
chashuxulie 差数序列
chatongtai 叉同态
chayi 差异
chayishanglian 差异上链
chayixianzhuxingjianyan 差异显著性检验
chayunsuan 差运算
chazhi 插值
chazhibijin 插值逼近
chazhiduoxiangshi 插值多项式
chazhifa 插值法
chazhifangfa 插值方法
chazhigongshi 插值公式
chazhihanshu 插值函数
chazhijiedian 插值节点
chazhijiedian 插值结点
chazhikongjian 插值空间
chazhiou 插值偶
chazhiqiujigongshi 插值求积公式
chazhitiaojian 插值条件
chazhiwenti 插值问题
chazhiwucha 插值误差
chazhixingzhi 插值性质
chazhiyuxiang 插值余项
chazhiyueshubijin 插值约束逼近
chaixie 拆卸
chanfangfengxian 产方风险
changbiaoshi 常表示
changchafenfangcheng 常差分方程
changchufa 长除法
changdu 长度
changdudanwei 长度单位
changduanfuyuanneibaixian 长短辐圆内摆线
changduanfuyuanneixuanlunxian 长短辐圆内旋轮线
changduanfuyuanwaibaixian 长短辐圆外摆线
changduanfuyuanwaixuanlunxian 长短辐圆外旋轮线
changfanlian 常返链
changfanzhuangtai 常返状态
changfangfengxian 厂方风险
changfangti 长方体
changfangxing 长方形
changfenbu 常分布
changfengtaifenbu 常峰态分布
changfuxuanlunxian 长辐旋轮线
changheduice 常和对策
changjianhanshu 常见函数
changliang 常量
changliangbiancha 常量变差
changliangyu 常量域
changlingxing 长菱形
changlun 场论
changqifangcheng 长期方程
changqiqushi 长期趋势
changqulvkongjian 常曲率空间
changqulvqumian 常曲率曲面
changshifa 尝试法
changshu 常数
changshubianyifa 常数变易法
changshuceng 常数层
changshuhanzi 常数函子
changshujishu 常数计数
changshujishuyuanli 常数计数原理
changshuxiang 常数项
changshuyu 常数域
changshuzhimo 常数秩模
changtuoqiu 长椭球
changweifenfangcheng 常微分方程
changweifenfangchengshuzhijie 常微分方程数值解
changweifenfangchengzu 常微分方程组
changweifensuanzi 常微分算子
changxishu 常系数
changxishuxianxingweifenfangcheng 常系数线性微分方程
changxiang 常项
changyongduishu 常用对数
changyuan 场源
changzhihanshu 常值函数
changzhiyingshe 常值映射
changzhou 长轴
chaoabeierhanshu 超阿贝耳函数
chaobamiantiqun 超八面体群
chaobamiantitu 超八面体图
chaochuxishu 超出系数
chaodaishuliao 超代数廖
chaodanchun 超单纯
chaodingwenti 超定问题
chaodingzu 超定组
chaodu 超渡
chaoduliangkongjian 超度量空间
chaoerciqumian 超二次曲面
chaofushu 超复数
chaogonge 超共轭
chaoguangyihanshu 超广义函数
chaoguohanshu 超过函数
chaohanshu 超函数
chaohuanmian 超环面
chaoji 超集
chaojihefenbu 超几何分布
chaojihehanshu 超几何函数
chaojihejishu 超几何级数
chaojiheweifenfangcheng 超几何微分方程
chaojihexue 超几何学
chaojiami 超加密
chaojiaxing 超加性
chaojiaxingfanhan 超加性泛函
chaojiaxingjihanshu 超加性集函数
chaojinkongjian 超紧空间
chaojuzhen 超矩阵
chaojunhanshu 超均函数
chaokejiequn 超可解群
chaokongjian 超空间
chaolixiang 超理想
chaolvzi 超滤子
chaolvziji 超滤子基
chaomiqie 超密切
chaomiqieerciquxian 超密切二次曲线
chaopaowu 超抛物
chaopingmian 超平面
chaopingmianjiemian 超平面截面
chaopingmianshu 超平面束
chaopingmianzuobiao 超平面坐标
chaopingxingti 超平行体
chaoqituoyuanquxian 超奇椭圆曲线
chaoqiyuehua 超奇约化
chaoqianjibenjie 超前基本解
chaoqianjiao 超前角
chaoqianweishi 超前位势
chaoqiexiangliang 超切向量
chaoqiongguinadingyi 超穷归纳定义
chaoqiongguinafa 超穷归纳法
chaoqiongjishu 超穷基数
chaoqiongxushu 超穷序数
chaoqiu 超球
chaoqiuhanshu 超球函数
chaoqiumian 超球面
chaoqiuweifenfangcheng 超球微分方程
chaoqumian 超曲面
chaoqun 超群
chaoshangtongdiao 超上同调
chaoshishu 超实数
chaoshoulian 超收敛
chaoshuangqu 超双曲
chaoshuangquxingfangcheng 超双曲型方程
chaosiciyuanwenqumian 超四次圆纹曲面
chaositongkongjian 超斯通空间
chaosongchi 超松弛
chaosuanshu 超算术
chaosuanshuguanxi 超算术关系
chaotiaohehanshu 超调和函数
chaotongxingkongjian 超桶型空间
chaotu 超图
chaotuoyuanhanshu 超椭圆函数
chaotuoyuanhanshuyu 超椭圆函数域
chaotuoyuanjifen 超椭圆积分
chaotuoyuanquxian 超椭圆曲线
chaowendingxing 超稳定性
chaoxianguinafa 超限归纳法
chaoxianxingshoulian 超线性收敛
chaoxianxingshouliansulv 超线性收敛速率
chaoxianxingshoulianxing 超线性收敛性
chaoxianxushu 超限序数
chaoxianzhijing 超限直径
chaoxunhuanqun 超循环群
chaoyoujiexingkongjian 超有界型空间
chaoyouxiandaishu 超有限代数
chaoyuebian 超跃变
chaoyuecishu 超越次数
chaoyuefangcheng 超越方程
chaoyuehanshu 超越函数
chaoyueji 超越基
chaoyuekuozhang 超越扩张
chaoyueqidian 超越奇点
chaoyuequmian 超越曲面
chaoyueshu 超越数
chaoyueshulun 超越数论
chaoyuexing 超越性
chaoyueyachunhanshu 超越亚纯函数
chaoyueyuan 超越元
chaoyueyuansu 超越元素
chaoyuezhenghanshu 超越整函数
chaozhengtaifangcha 超正态方差
chaozifanbanahekongjian 超自反巴拿赫空间
chaozongti 超总体
chentezheng 陈特征
chenxingshentezhengbiao 陈省身特征标
chengchouyangfangfa 乘抽样方法
chengduibijiaofa 成对比较法
chengduiguanceshuju 成对观测数据
chengduiyangben 成对样本
chengfa 乘法
chengfadingli 乘法定理
chengfagongli 乘法公理
chengfajiaohuanlv 乘法交换律
chengfajiaohuanxingzhi 乘法交换性质
chengfajiehelv 乘法结合律
chengfajiehexingzhi 乘法结合性质
chengfaqun 乘法群
chengfasuanzi 乘法算子
chengfatezhen 乘法特贞
chengfaxiaoqulv 乘法消去律
chengfayuanli 乘法原理
chengfang 乘方
chenggonggailv 成功概率
chenghao 乘号
chengji 乘积
chengjicedu 乘积测度
chengjiduliang 乘积度量
chengjigongshi 乘积公式
chengjijifen 乘积积分
chengjixingjifengongshi 乘积型积分公式
chengjizhankaishi 乘积展开式
chengjiachouyangfangfa 乘加抽样方法
chengpichuli 成批处理
chengpifuwu 成批服务
chengpipaidui 成批排队
chengqun 乘群
chengshu 乘数
chengshucitou 乘数词头
chengshujicunqi 乘数寄存器
chengshuangyangben 成双样本
chengtongyufangfa 乘同余方法
chengxingercixing 乘性二次型
chengxinghanshu 乘性函数
chengxingshulun 乘性数论
chengxingtongyu 乘性同余
chengxingxianxingfanhan 乘性线性泛函
chengxingxulie 乘性序列
chengxingyuehua 乘性约化
chengxingziji 乘性子集
chengxu 程序
chengxucanshu 程序参数
chengxudai 程序带
chengxujianyan 程序检验
chengxuku 程序库
chengxusheji 程序设计
chengxuwendang 程序文档
chengzaidanxing 承载单形
chidaobanjing 赤道半径
chidaozuobiao 赤道座标
chiducanshu 尺度参数
chiguizuotufa 尺规作图法
chijiushijian 持久时间
chixingbudongdian 斥性不动点
chiyangengxinguocheng 迟延更新过程
chongchuandiqun 重传递群
chongfen 重分
chongfenbubiyaotiaojian 充分不必要条件
chongfenlianyingshe 重分链映射
chongfentiaojian 充分条件
chongfentongjiliang 充分统计量
chongfenxing 充分性
chongfu 重复
chongfupailie 重复排列
chongfushu 重复数
chongfuwucha 重复误差
chonggen 重根
chonggou 重构
chonggoucaixiang 重构猜想
chonghedian 重合点
chongjihanshu 冲击函数
chongjihanshu 冲激函数
chongjixiangying 冲激响应
chongliantongyu 重连通域
chongpai 重排
chongqianru 重嵌入
chongshu 重数
chongyanshi 重言式
chongyaotiaojian 充要条件
chouji 稠集
choujian 抽检
choujiang 抽奖
choumi 稠密
choumixianxingbianhuanhuan 稠密线性变换环
choumixing 稠密性
choushu 抽数
chouxiang 抽象
chouxiangcu 抽象簇
chouxiangdaishu 抽象代数
chouxiangdaishujihe 抽象代数几何
chouxiangdanxing 抽象单形
chouxiangdanzifuxing 抽象单子复形
chouxiangfanchou 抽象范畴
chouxiangfeiqiquxian 抽象非奇曲线
chouxiangfuxing 抽象复形
chouxianggenxi 抽象根系
chouxianghua 抽象化
chouxiangkongjian 抽象空间
chouxianglimanmian 抽象黎曼面
chouxiangma 抽象码
chouxiangmoxinglun 抽象模型论
chouxiangqun 抽象群
chouxiangshuxue 抽象数学
chouxiangsuanzi 抽象算子
chouxiangtiaohefenxi 抽象调和分析
chouxiangweinakongjian 抽象维纳空间
chouxiangxing 抽象性
chouxiangyouxudanchunfuxing 抽象有序单纯复形
chouxiangyuanli 抽象原理
